City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint george,20,GR,1539105600,72,39.45,22.34,62.6,2.24
1,srednekolymsk,68,RU,1539108221,90,67.46,153.71,22.74,2.84
2,east london,0,ZA,1539104400,88,-33.02,27.91,66.2,3.36
3,islamkot,64,PK,1539108221,31,24.7,70.18,83.31,9.89
4,parabel,56,RU,1539108221,94,58.71,81.5,47.13,10.11
5,arraial do cabo,75,BR,1539104400,83,-22.97,-42.02,82.4,6.93
6,mandera,48,ET,1539108221,42,3.94,41.86,84.93,6.08
7,ushuaia,75,AR,1539104400,69,-54.81,-68.31,39.2,14.99
8,torbay,90,CA,1539105000,60,47.66,-52.73,42.8,11.41
9,turayf,75,SA,1539104400,36,31.68,38.65,80.6,6.93
10,escarcega,0,MX,1539108222,57,18.61,-90.75,92.31,3.0
11,bluff,12,AU,1539108222,79,-23.58,149.07,68.19,11.61
12,ponta do sol,56,BR,1539108222,65,-20.63,-46.0,81.33,7.58
13,bredasdorp,24,ZA,1539104400,77,-34.53,20.04,64.4,9.17
14,carnarvon,0,ZA,1539108223,14,-30.97,22.13,71.52,8.25
15,del rio,1,US,1539104160,71,29.36,-100.9,73.94,9.17
16,fortuna,75,ES,1539106200,52,38.18,-1.13,69.8,13.87
17,berlevag,75,NO,1539105600,80,70.86,29.09,41.0,18.34
18,ribeira grande,75,PT,1539106200,94,38.52,-28.7,68.0,26.4
19,airai,0,TL,1539108224,79,-8.93,125.41,56.85,1.39
20,rawson,88,AR,1539108224,29,-43.3,-65.11,55.59,25.1
21,cape town,0,ZA,1539104400,77,-33.93,18.42,62.6,13.87
22,mabai,100,CN,1539108224,95,23.01,104.4,58.56,2.28
23,barrow,0,AR,1539108224,53,-38.31,-60.23,60.27,17.16
24,rafaela,0,AR,1539108224,48,-31.25,-61.49,77.91,18.84
25,semporna,68,MY,1539108225,99,4.48,118.61,85.2,5.57
26,marawi,68,PH,1539108225,99,8.0,124.29,70.17,2.06
27,butaritari,0,KI,1539108225,100,3.07,172.79,83.76,7.09
28,maceio,40,BR,1539108000,58,-9.67,-35.74,82.4,17.22
29,saskylakh,68,RU,1539108225,94,71.97,114.09,31.56,10.67
30,rikitea,44,PF,1539108225,99,-23.12,-134.97,73.23,14.81
31,vanino,56,RU,1539108225,71,53.93,40.55,41.64,4.34
32,rincon,75,US,1539107760,79,32.3,-81.24,84.92,12.75
33,comodoro rivadavia,40,AR,1539104400,43,-45.87,-67.48,50.0,21.92
34,the valley,20,AI,1539104400,70,18.22,-63.06,86.0,16.11
35,iqaluit,75,CA,1539104400,73,63.75,-68.52,26.6,5.82
36,jamestown,80,AU,1539108226,91,-33.21,138.6,54.33,8.43
37,kapaa,90,US,1539104400,79,22.08,-159.32,78.08,14.99
38,biak,88,ID,1539108226,100,-0.91,122.88,76.74,3.11
39,upernavik,20,GL,1539108227,100,72.79,-56.15,26.07,5.91
40,bajos de haina,90,DO,1539104400,83,18.41,-70.03,82.4,13.87
41,khatanga,88,RU,1539108227,94,71.98,102.47,33.18,10.67
42,tricase,20,IT,1539104100,88,39.93,18.36,68.0,8.05
43,hobart,75,AU,1539106200,39,-42.88,147.33,46.4,19.46
44,pevek,44,RU,1539108227,100,69.7,170.27,30.21,6.42
45,port alfred,0,ZA,1539108228,87,-33.59,26.89,70.62,6.31
46,shwebo,92,MM,1539108228,98,22.57,95.7,70.89,2.84
47,hasaki,20,JP,1539106200,93,35.73,140.83,64.4,4.7
48,sao joao da barra,0,BR,1539104400,58,-21.64,-41.05,84.2,18.34
49,betare oya,80,CM,1539108228,98,5.6,14.08,67.02,2.06
50,puerto ayora,20,EC,1539104400,57,-0.74,-90.35,78.8,18.34
51,norman wells,75,CA,1539104400,86,65.28,-126.83,28.4,5.82
52,qaanaaq,36,GL,1539108229,100,77.48,-69.36,16.71,11.83
53,anadyr,0,RU,1539104400,75,64.73,177.51,44.6,15.66
54,kloulklubed,40,PW,1539103800,94,7.04,134.26,75.2,7.36
55,hualmay,12,PE,1539108012,64,-11.1,-77.61,70.53,6.08
56,santa isabel,90,CO,1539104400,100,4.71,-75.1,69.8,3.36
57,inhambane,0,MZ,1539104400,83,-23.87,35.38,75.2,11.41
58,lasa,20,CY,1539106200,73,34.92,32.53,75.2,4.7
59,axim,80,GH,1539108230,100,4.87,-2.24,78.18,10.04
60,dikson,88,RU,1539108230,94,73.51,80.55,38.58,19.62
61,punta arenas,75,CL,1539104400,39,-53.16,-70.91,44.6,19.46
62,yumen,0,CN,1539108231,50,40.29,97.04,33.63,7.02
63,kodiak,90,US,1539107460,100,39.95,-94.76,68.0,8.05
64,castro,80,CL,1539108231,67,-42.48,-73.76,49.11,9.78
65,constitucion,5,MX,1539103440,42,23.99,-104.67,66.2,5.82
66,busselton,88,AU,1539108232,88,-33.64,115.35,66.21,11.39
67,new norfolk,75,AU,1539106200,39,-42.78,147.06,46.4,19.46
68,half moon bay,20,US,1539104160,72,37.46,-122.43,68.0,3.36
69,bowen,0,AU,1539104400,88,-20.01,148.25,62.6,10.38
70,ilulissat,75,GL,1539103800,54,69.22,-51.1,28.4,4.12
71,batemans bay,92,AU,1539108233,100,-35.71,150.18,54.69,9.55
72,chuy,0,UY,1539108233,91,-33.69,-53.46,67.02,19.44
73,nantucket,20,US,1539106500,69,41.28,-70.1,75.2,18.34
74,punta alta,90,AR,1539108000,83,-27.46,-55.82,84.2,11.41
75,udachnyy,88,RU,1539108233,73,66.42,112.4,35.34,5.53
76,jinchang,0,CN,1539108234,65,38.52,102.19,25.98,2.73
77,georgetown,75,GY,1539104400,56,6.8,-58.16,93.2,6.93
78,front royal,90,US,1539105300,69,38.92,-78.19,82.04,6.93
79,atuona,36,PF,1539108234,98,-9.8,-139.03,81.06,18.95
80,manono,32,CD,1539108235,82,-7.3,27.4,75.21,0.76
81,lompoc,1,US,1539106500,68,34.64,-120.46,66.92,3.4
82,chapais,90,CA,1539106500,93,49.78,-74.86,42.8,3.36
83,coquimbo,0,CL,1539104400,72,-29.95,-71.34,60.8,11.41
84,avarua,75,CK,1539104400,78,-21.21,-159.78,71.6,3.36
85,teahupoo,20,PF,1539106200,69,-17.83,-149.27,82.4,5.82
86,yellowknife,5,CA,1539104400,95,62.45,-114.38,32.0,6.93
87,te anau,8,NZ,1539108236,71,-45.41,167.72,46.68,17.31
88,katsuura,36,JP,1539108236,97,33.93,134.5,65.67,3.56
89,souillac,0,FR,1539106200,56,45.6,-0.6,71.6,8.05
90,buin,75,CL,1539108000,42,-33.73,-70.74,66.2,9.17
91,pisco,20,PE,1539104400,30,-13.71,-76.2,71.6,9.17
92,mataura,48,NZ,1539108236,57,-46.19,168.86,53.7,23.91
93,acucena,40,BR,1539104400,41,-19.07,-42.55,91.4,11.41
94,wanaka,0,NZ,1539108237,61,-44.7,169.14,44.97,8.03
95,tuktoyaktuk,90,CA,1539104400,86,69.44,-133.03,26.6,5.82
96,eyl,44,SO,1539108237,80,7.98,49.82,79.26,17.6
97,ust-nera,36,RU,1539108237,89,64.57,143.24,-0.66,2.21
98,petropavlovsk-kamchatskiy,68,RU,1539104400,86,53.05,158.65,30.2,11.18
99,izvestkovyy,88,RU,1539108237,97,48.98,131.55,36.51,2.51
100,hambantota,68,LK,1539108237,100,6.12,81.12,77.64,17.94
101,chokurdakh,36,RU,1539108238,79,70.62,147.9,12.93,9.44
102,ombessa,64,CM,1539108238,83,4.6,11.26,74.94,3.89
103,queanbeyan,90,AU,1539106200,87,-35.35,149.23,53.6,9.17
104,sheffield lake,1,US,1539107580,51,41.49,-82.1,84.92,11.41
105,ca mau,56,VN,1539108238,100,9.18,105.15,78.36,3.51
106,atar,0,MR,1539108238,13,20.52,-13.05,100.41,4.63
107,lucapa,56,AO,1539108238,84,-8.42,20.74,72.96,2.77
108,auka,75,HN,1539104400,70,14.93,-83.83,87.8,6.93
109,natchitoches,90,US,1539106980,72,31.76,-93.09,84.02,10.29
110,tilichiki,0,RU,1539108239,92,60.47,166.1,35.16,8.1
111,mar del plata,64,AR,1539108030,47,-46.43,-67.52,49.38,21.41
112,leningradskiy,92,RU,1539108239,97,69.38,178.42,36.06,14.85
113,vanimo,24,PG,1539108240,100,-2.67,141.3,82.23,12.06
114,denpasar,40,ID,1539106200,83,-8.65,115.22,78.8,3.36
115,saint-francois,0,FR,1539106200,77,46.42,3.91,60.8,8.05
116,meulaboh,56,ID,1539108240,100,4.14,96.13,77.73,3.51
117,albany,20,US,1539107460,62,42.65,-73.75,80.06,10.29
118,cap malheureux,40,MU,1539104400,73,-19.98,57.61,75.2,14.99
119,santa marta,75,CO,1539104400,70,11.24,-74.21,86.0,16.11
120,okhotsk,68,RU,1539108242,100,59.36,143.24,31.92,6.76
121,port-cartier,90,CA,1539104400,86,50.03,-66.88,39.2,5.82
122,gisborne,0,NZ,1539108125,82,-38.66,178.02,43.62,7.43
123,rocha,0,UY,1539108242,58,-34.48,-54.34,69.63,14.97
124,westport,90,IE,1539106200,93,53.8,-9.52,57.2,17.22
125,bethel,90,US,1539103980,95,60.79,-161.76,44.06,10.29
126,sharanga,56,RU,1539108244,85,57.18,46.54,33.63,6.02
127,port elizabeth,40,US,1539107700,69,39.31,-74.98,80.96,5.82
128,san cristobal,75,EC,1539104400,72,-0.39,-78.55,59.0,11.41
129,maracacume,36,BR,1539108245,81,-2.04,-45.96,87.63,9.55
130,vysokogornyy,68,RU,1539108245,88,50.1,139.13,33.0,8.55
131,hami,0,CN,1539108246,56,42.84,93.51,40.74,6.13
132,mareeba,20,AU,1539106200,94,-16.99,145.42,68.0,3.56
133,ancud,64,CL,1539108246,59,-41.87,-73.83,50.73,9.82
134,tura,0,IN,1539108246,89,25.52,90.21,69.63,4.07
135,praia da vitoria,40,PT,1539104400,73,38.73,-27.07,73.4,27.89
136,jasper,1,US,1539106500,55,33.83,-87.28,86.0,10.29
137,zhigansk,92,RU,1539108247,95,66.77,123.37,31.38,10.33
138,hithadhoo,12,MV,1539108247,98,-0.6,73.08,84.3,14.41
139,luzhou,44,CN,1539108248,95,28.89,105.45,54.33,2.73
140,thompson,90,CA,1539105780,78,55.74,-97.86,32.0,5.82
141,longyearbyen,40,NO,1539103800,79,78.22,15.63,24.8,3.36
142,calama,0,CL,1539104400,15,-22.46,-68.93,71.6,20.8
143,varberg,75,SE,1539105600,82,57.11,12.25,57.2,18.34
144,cabo san lucas,5,MX,1539103680,60,22.89,-109.91,82.4,17.22
145,nha trang,36,VN,1539108249,100,12.24,109.19,76.92,10.16
146,hilo,75,US,1539104160,97,19.71,-155.08,71.96,3.36
147,sitka,92,US,1539108247,100,37.17,-99.65,47.49,18.16
148,dongying,0,CN,1539108249,77,37.43,118.67,40.47,9.82
149,guzelyurt,75,TR,1539105600,72,38.28,34.37,59.0,12.75
150,nikolskoye,90,RU,1539106200,81,59.7,30.79,51.8,8.95
151,vaini,76,IN,1539108250,97,15.34,74.49,70.98,2.1
152,deputatskiy,56,RU,1539108250,78,69.3,139.9,9.87,2.62
153,millinocket,90,US,1539104160,77,45.66,-68.71,62.96,7.31
154,san patricio,88,PY,1539108251,96,-26.98,-56.83,74.58,2.21
155,chernyshevskiy,36,RU,1539108251,67,63.01,112.47,38.31,12.17
156,matay,0,EG,1539108251,48,28.42,30.79,76.29,7.87
157,nakusp,44,CA,1539108251,89,50.24,-117.8,37.77,1.99
158,laguna,75,MX,1539103200,47,27.52,-110.01,78.8,5.82
159,sant julia de loria,68,AD,1539108252,68,42.46,1.49,49.74,2.39
160,presidencia roque saenz pena,32,AR,1539108252,94,-26.79,-60.44,78.63,8.55
161,egvekinot,92,RU,1539108252,90,66.32,-179.17,34.53,9.82
162,sao filipe,56,CV,1539108252,89,14.9,-24.5,82.59,4.23
163,bossangoa,12,CF,1539108252,75,6.5,17.45,78.36,3.33
164,wajid,64,SO,1539108252,48,3.81,43.25,84.3,11.83
165,freeport,75,BS,1539104400,74,26.54,-78.7,87.8,6.93
166,ipixuna,75,BR,1539108000,70,-1.76,-48.8,86.0,10.29
167,abnub,0,EG,1539104400,32,27.27,31.15,82.4,11.41
168,haines junction,44,CA,1539108253,90,60.75,-137.51,21.03,1.99
169,hermanus,0,ZA,1539108254,64,-34.42,19.24,64.41,3.11
170,kem,92,UG,1539108254,99,2.68,33.77,64.59,2.55
171,lomovka,75,RU,1539104400,75,53.92,58.37,44.6,4.47
172,xining,0,CN,1539108254,76,36.62,101.77,17.34,2.51
173,saint-paul,0,FR,1539106200,56,45.22,1.9,69.8,11.41
174,tiksi,36,RU,1539108255,88,71.64,128.87,27.51,7.54
175,altay,64,CN,1539108255,72,47.83,88.13,26.07,2.33
176,marsa matruh,20,EG,1539104400,69,31.35,27.25,77.0,5.82
177,carauari,0,BR,1539108255,38,-4.88,-66.9,100.14,4.29
178,makat,0,KZ,1539108255,35,47.65,53.35,46.77,9.37
179,chanika,0,MW,1539108256,82,-12.93,34.19,68.01,2.73
180,quelimane,40,MZ,1539104400,83,-17.88,36.89,75.2,6.93
181,nhulunbuy,0,AU,1539106200,94,-12.18,136.78,69.8,11.68
182,gohad,8,IN,1539108256,54,26.42,78.44,74.94,3.4
183,cootamundra,20,AU,1539108256,91,-34.64,148.03,54.06,12.39
184,saint-joseph,0,FR,1539106200,64,43.56,6.97,71.6,3.36
185,gazojak,0,TM,1539108257,57,41.19,61.4,47.04,9.37
186,arlit,48,NE,1539108257,13,18.74,7.39,92.49,4.0
187,salalah,0,OM,1539103800,45,17.01,54.1,86.0,5.82
188,ostrovnoy,32,RU,1539108258,94,68.05,39.51,36.69,19.95
189,lebu,20,ET,1539108259,43,8.96,38.73,57.84,6.76
190,cayenne,0,GF,1539106200,62,4.94,-52.33,89.6,13.87
191,pyinmana,68,MM,1539108259,96,19.74,96.21,73.23,2.39
192,port lincoln,80,AU,1539108324,93,-34.72,135.86,56.49,17.16
193,mahebourg,40,MU,1539104400,73,-20.41,57.7,75.2,14.99
194,cabedelo,75,BR,1539104400,55,-6.97,-34.84,86.0,18.34
195,sabha,36,LY,1539108260,21,27.03,14.43,86.37,8.1
196,itarema,0,BR,1539108261,44,-2.92,-39.92,93.21,17.16
197,elko,90,US,1539107760,60,40.83,-115.76,53.06,13.87
198,saint anthony,90,US,1539106980,81,43.97,-111.68,41.0,8.05
199,ambon,0,FR,1539106200,68,47.55,-2.56,68.0,5.82
200,hofn,88,IS,1539108261,100,64.25,-15.21,40.56,6.8
201,pimentel,24,BR,1539108262,62,-3.7,-45.5,88.35,4.0
202,raymondville,90,US,1539106080,64,37.34,-91.83,78.98,12.75
203,nioro,0,GM,1539108262,72,13.79,-15.05,91.86,3.78
204,lensk,32,RU,1539108262,64,60.71,114.91,38.31,9.44
205,carmen,100,PH,1539108262,98,7.2,124.8,72.78,1.88
206,djambala,0,CG,1539108262,94,-2.55,14.76,71.34,4.63
207,new iberia,90,US,1539106500,83,30.0,-91.82,84.92,9.17
208,azare,64,NG,1539108263,81,11.67,10.19,76.65,4.56
209,taitung,48,TW,1539108070,100,22.76,121.15,72.51,5.75
210,bacolod,20,PH,1539108263,88,10.68,122.95,74.94,3.56
211,clermont,88,AU,1539108263,54,-22.82,147.64,76.47,1.72
212,nago,20,IT,1539105600,72,45.88,10.89,71.6,2.24
213,saldanha,0,PT,1539108264,52,41.42,-6.55,59.46,3.89
214,ampanihy,0,MG,1539108264,44,-24.69,44.75,74.94,11.9
215,lugovoy,64,RU,1539108264,88,59.72,65.88,38.22,10.83
216,kudat,75,MY,1539104400,88,6.89,116.84,82.4,3.36
217,arman,90,RU,1539104400,80,59.7,150.17,30.2,6.71
218,olbia,20,IT,1539105600,83,40.92,9.49,69.8,5.82
219,riberalta,75,BO,1539104400,63,-11.0,-66.08,91.4,6.93
220,katobu,0,ID,1539108265,100,-4.94,122.53,78.09,4.52
221,faanui,36,PF,1539108265,98,-16.48,-151.75,80.34,3.85
222,vuktyl,20,RU,1539108009,81,63.86,57.31,32.82,8.43
223,datong,0,CN,1539108265,72,40.09,113.3,19.23,2.77
224,atbasar,0,KZ,1539108266,66,51.81,68.36,43.26,7.31
225,vangaindrano,92,MG,1539108266,100,-23.35,47.6,63.96,3.74
226,taltal,0,CL,1539108266,71,-25.41,-70.49,70.71,3.22
227,cuxhaven,75,DE,1539105600,62,53.87,8.7,55.4,5.82
228,nome,75,US,1539107700,75,30.04,-94.42,85.64,9.17
229,troitsko-pechorsk,44,RU,1539108266,83,62.71,56.19,33.27,8.59
230,hirara,8,JP,1539108267,100,24.8,125.28,78.63,10.78
231,terrace,75,CA,1539104400,87,54.52,-128.61,46.4,9.17
232,saint-augustin,20,FR,1539106200,72,44.83,-0.61,68.0,3.36
233,borogontsy,80,RU,1539108139,91,62.67,131.17,25.8,4.29
234,nishihara,1,JP,1539104400,88,35.74,139.53,69.8,2.84
235,clyde river,75,CA,1539104400,92,70.47,-68.59,26.6,17.22
236,yenagoa,92,NG,1539108267,81,4.92,6.26,78.9,8.81
237,kalmunai,64,LK,1539108268,100,7.42,81.82,74.67,3.29
238,chara,20,GR,1539105600,72,39.42,22.43,62.6,2.24
239,tasiilaq,75,GL,1539107400,100,65.61,-37.64,32.0,5.82
240,ratnagiri,36,IN,1539108268,100,16.98,73.3,82.05,6.8
241,touros,12,BR,1539107978,61,-5.2,-35.46,85.74,20.56
242,karaton,20,ID,1539106200,74,-6.34,106.1,80.6,3.36
243,sola,90,FI,1539107400,93,62.78,29.36,51.8,12.75
244,broome,0,GB,1539107760,77,52.47,1.45,64.4,9.17
245,cherlak,0,RU,1539108269,53,54.15,74.8,50.19,12.57
246,alquizar,90,CU,1539104100,79,22.81,-82.59,84.2,10.29
247,victoria,75,BN,1539106200,94,5.28,115.24,80.6,2.24
248,abaza,0,RU,1539108270,73,52.65,90.1,27.33,2.28
249,saint-philippe,1,CA,1539105300,73,45.36,-73.48,75.2,17.22
250,chabahar,0,IR,1539108270,95,25.29,60.65,82.5,9.04
251,ludvika,75,SE,1539105600,87,60.15,15.18,55.4,14.99
252,paranhos,48,PY,1539108271,83,-23.89,-55.43,83.31,6.13
253,la rioja,0,AR,1539108006,22,-29.41,-66.86,85.83,11.12
254,urusha,8,RU,1539108271,82,54.05,122.9,23.73,3.0
255,talnakh,88,RU,1539108271,95,69.49,88.39,33.36,7.36
256,kavieng,20,PG,1539108271,100,-2.57,150.8,82.23,3.89
257,kirensk,0,RU,1539108271,76,57.78,108.12,22.83,2.33
258,santiago de chuco,44,PE,1539108271,41,-8.15,-78.17,64.77,1.39
259,tayu,40,JP,1539106200,88,35.06,136.67,68.0,4.7
260,valdivia,75,CL,1539104400,57,-39.81,-73.25,51.8,4.7
261,sorland,40,NO,1539105600,81,67.67,12.69,44.6,23.04
262,kodinsk,80,RU,1539108272,64,58.6,99.18,39.66,4.85
263,roma,40,IT,1539105600,93,41.89,12.48,71.6,2.24
264,motygino,92,RU,1539108272,64,58.18,94.69,44.61,6.13
265,fort nelson,75,CA,1539104400,74,58.81,-122.69,28.4,5.82
266,henties bay,32,NA,1539108273,91,-22.12,14.28,60.63,8.43
267,phangnga,75,TH,1539106200,94,8.45,98.53,75.2,2.24
268,hay river,5,CA,1539104400,54,60.82,-115.79,28.4,8.05
269,kenai,90,US,1539104160,85,60.55,-151.26,46.04,6.93
270,dunedin,92,NZ,1539108130,59,-45.87,170.5,49.47,14.97
271,digby,92,CA,1539108051,91,44.62,-65.76,59.73,13.85
272,chimoio,20,MZ,1539104400,46,-19.11,33.48,71.6,9.17
273,maniitsoq,88,GL,1539108273,100,65.42,-52.9,29.49,7.43
274,parintins,0,BR,1539108274,36,-2.63,-56.73,97.89,6.08
275,linhares,0,BR,1539108274,49,-19.38,-40.06,87.27,13.06
